uid;slug;titre;description;date_debut;date_fin;horaires;dates_texte;lieu_nom;adresse;code_postal;commune;latitude;longitude;categorie;gratuit;image_url;url_source;agenda_source;date_extraction
82950689;heure-du-conte-a-vendome;Heure du conte à Vendôme;Moment de détente dans votre médiathèque. Heure du conte à Vendôme. Laissez vous conter de belles histoires à partir de 4 ans suivi d'un atelier créatif.;2026-03-03;2026-04-15;23:00–22:59;3 mars - 15 avril;MédiathèqueParc Ronsard;41100 Vendôme;41100;Vendôme;47.792591;1.065581;Conférences | soirées contes;;https://cdn.openagenda.com/main/;;Territoires Vendômois;2026-04-07
1016169;heure-du-conte-a-naveil;Heure du conte à Naveil;Un moment à partager dans votre médiathèque. Heure du conte à Naveil. Installez-vous confortablement et laissez-vous emporter par la magie des mots… Petits et grands sont invités à tendre l’oreille po;2026-02-10;2026-04-11;23:00–22:59;10 février - 11 avril;Point lecture;16 Rue de la Condita, 41100 Naveil;41100;Naveil;47.794053;1.029927;Conférences | soirées contes;;https://cdn.openagenda.com/main/;;Territoires Vendômois;2026-04-07
20332423;prokino-a-vendome;Prokino à Vendôme;35ème semaine du cinéma de langue allemande. Prokino à Vendôme. Depuis 35 ans, PROKINO fait découvrir le cinéma de langue allemande, mêlant films récents et classiques, souvent inédits en France. Pend;2026-04-06;2026-04-10;00:00–23:59;6 - 10 avril;Cinéma Majestic Vendôme;2 Rue Darreau, 41100 Vendôme;41100;Vendôme;47.802699;1.069413;Cinéma;;https://cdn.openagenda.com/main/;;Territoires Vendômois;2026-04-07
25530267;cine-media-3235229;Ciné-média;Ciné-média;2026-04-07;2026-04-07;00:00–23:59;Mardi 7 avril, 00h00;Médiathèque de Vendôme;Parc Ronsard, 41100 Vendôme;41100;Vendôme;47.792608;1.065549;Projection;;;;Territoires Vendômois;2026-04-07
26456824;cine-media-4931941;Ciné-média;Ciné-média;2026-04-07;2026-04-07;00:00–23:59;Mardi 7 avril, 00h00;Médiathèque de Vendôme;Parc Ronsard, 41100 Vendôme;41100;Vendôme;47.792608;1.065549;Projection;;;;Territoires Vendômois;2026-04-07
51784188;cine-media-a-montoire-sur-le-loir;Ciné-média à Montoire-sur-le Loir;Pause cinéma à la médiathèque de Montoire-sur-le Loir ! Ciné-média à Montoire-sur-le Loir. Un moment convivial pour les curieux d’image et de récit, amateurs ou passionnés, à vivre ensemble dans l’uni;2026-04-07;2026-04-07;00:00–23:59;Mardi 7 avril, 00h00;Médiathèque Nef EuropaQuartier Marescot;41800 Montoire-sur-le-Loir;41800;Montoire-sur-le-Loir;47.751889;0.861139;Cinéma;;https://cdn.openagenda.com/main/;;Territoires Vendômois;2026-04-07
76759680;cine-media-a-savigny-sur-braye-4271532;Ciné-média à Savigny-sur-Braye;Votre médiathèque vous propose la projection d'un film récent sur grand écran. Ciné-média jeunesse à Savigny-sur-Braye. Plongez dans un univers cinématographique captivant, où chaque image raconte une;2026-04-07;2026-04-07;00:00–23:59;Mardi 7 avril, 00h00;Médiathèque-Ludothèque Agora Braye;7 Rue Hélène Boucher, 41360 Savigny-sur-Braye;41360;Savigny-sur-Braye;47.880414;0.807572;Cinéma;;https://cdn.openagenda.com/main/;;Territoires Vendômois;2026-04-07
81104708;petit-concert-du-mardi;Petit concert du mardi;Petit concert du mardi (tous les instruments) par l'École de musique des Territoires Vendômois.;2026-04-07;2026-04-07;00:00–23:59;Mardi 7 avril, 00h00;Auditorium;41800 Montoire-sur-le-Loir;41800;Montoire-sur-le-Loir;47.754799;0.864217;Musique;;;;Territoires Vendômois;2026-04-07
4586738;atelier-creatif-a-selommes-2616236;Atelier créatif à Selommes;Invite la mer dans une bouteille… Atelier créatif à Selommes. Viens créer ton mini océan, un monde bleu qui danse aux creux des mains, sous forme de bouteille sensorielle. A partir de 6 ans. Jusqu’à 1;2026-04-08;2026-04-08;00:00–23:59;Mercredi 8 avril, 00h00;Médiathèque17 bis;rue Bout de Haies, 41100 Selommes;41100;Selommes;47.753757;1.192781;;;https://cdn.openagenda.com/main/;;Territoires Vendômois;2026-04-07
11336511;bb-bouquine-a-savigny-sur-braye-271236;BB Bouquine à Savigny-sur-Braye;"Les bébés à l'honneur ce matin à la médiathèque-ludothèque de Savigny-sur-Braye. BB Bouquine à Savigny-sur-Braye. BB bouquine ""Les sens"" temps d’accueil des enfants de 0 à 3 ans.";2026-04-08;2026-04-08;00:00–23:59;Mercredi 8 avril, 00h00;Médiathèque-Ludothèque Agora Braye;7 Rue Hélène Boucher, 41360 Savigny-sur-Braye;41360;Savigny-sur-Braye;47.880414;0.807572;Littérature;;https://cdn.openagenda.com/main/;;Territoires Vendômois;2026-04-07
